Screeen_name,Description,created_AT,followers_count,friends_count,statuses_count,list_count,location,favourites_count
H1997S4,,Mon May 15 06:12:29 +0000 2017,0,24,0,0,1,0
Greencareahmed2,,Fri Mar 03 06:35:21 +0000 2017,1,19,2,0,1,0
Tharmasekeran1,,Mon May 15 05:24:23 +0000 2017,0,20,0,0,1,0
norry74986461,,Mon May 15 05:24:40 +0000 2017,0,21,0,0,1,0
AslamKh75771558,,Mon May 15 05:02:00 +0000 2017,0,30,0,0,1,0
Oriflam15,,Mon May 15 04:56:32 +0000 2017,1,117,4,0,1,2
liodipengmailc3,,Mon May 15 04:27:05 +0000 2017,0,21,0,0,1,0
Ahmad98189375,,Mon Dec 05 10:00:17 +0000 2016,0,10,0,0,1,0
Gghhhhh01374300,,Mon May 15 04:42:05 +0000 2017,0,21,0,0,1,0
ep5tJf15x5u2Nvf,,Mon May 15 04:33:36 +0000 2017,0,58,0,0,1,0
ahmedtufael3,Working in Travel and Tourism Industry  in Middle east And online activist,Mon May 15 04:21:18 +0000 2017,2,13,1,0,1,0
VahbNoushad,,Mon May 15 04:28:28 +0000 2017,1,121,0,0,1,0
bade_r999,الأخبار,Wed May 13 21:50:29 +0000 2015,4,98,1,0,1,2
ZubairZehri,"Still Trying to Make Batter ,,",Tue Dec 27 20:26:23 +0000 2011,29,139,4,0,1,5
Sujanad70010001,,Mon May 15 03:57:23 +0000 2017,0,21,0,0,1,0
HakeemKham,,Mon May 01 08:57:18 +0000 2017,568,4184,8,0,1,2792
Ashrafu61129577,,Mon May 15 03:30:40 +0000 2017,1,52,0,0,1,0
Ariyank92434593,A,Mon May 15 01:50:45 +0000 2017,3,44,1,0,1,4
XheOtnasirc,,Sun May 14 19:17:14 +0000 2017,0,35,0,0,1,0
aqeelsport1989,follow only,Mon Apr 17 10:07:01 +0000 2017,177,404,235,0,1,201
Wadha14144,من رضا بقضاء ربه، أرضاه ربه بجمال قدره .,Sun May 13 10:29:27 +0000 2012,643,228,2983,2,1,33
66898872m,,Mon May 15 01:28:15 +0000 2017,7,134,0,0,1,10
mmmoonk,,Mon May 15 01:25:56 +0000 2017,20,983,0,0,1,0
AttaUrR12892340,,Thu Apr 20 08:43:58 +0000 2017,1,9,0,0,1,0
heeshohesham,,Fri Oct 28 23:23:06 +0000 2011,0,5,0,0,1,0
6tsZiM2usBOFWD6,,Mon May 15 00:07:57 +0000 2017,0,34,0,0,1,0
mTShgJQCvAd26UY,,Sun May 14 23:52:04 +0000 2017,2,100,0,0,1,0
Dfq7zictWn08Dfd,,Thu Mar 30 13:10:19 +0000 2017,0,4,0,0,1,0
sittie_alma,,Sun May 14 23:37:14 +0000 2017,2,51,0,0,1,7
Ammaralasmi3,,Sun May 14 23:16:35 +0000 2017,0,41,0,0,1,0
nayan62856063,,Sun May 14 22:08:58 +0000 2017,0,1,1,0,1,0
Mammamummom,,Sun May 14 21:56:36 +0000 2017,0,21,0,0,1,0
Dharmen77651641,,Sun May 14 21:59:59 +0000 2017,2,99,1,0,1,0
saaag19,,Sun May 14 22:01:38 +0000 2017,0,17,0,0,1,0
Alkubaisi114,,Fri May 12 00:32:50 +0000 2017,1,12,0,0,1,0
Sabrina00074482,Jeux,Thu Sep 22 21:11:54 +0000 2016,13,78,6,0,1,3
SamaherAlshaibi,"🇸🇦🇹🇷                                                                                     ""Even miracles take a little time""💫",Sun May 14 20:52:41 +0000 2017,2,105,0,0,1,0
Rackstar16,,Sun May 14 21:17:15 +0000 2017,0,25,1,0,1,0
xxjoXzDDzEyO8vf,,Sun May 14 21:13:28 +0000 2017,1,42,0,0,1,0
MDJEWEL89725232,,Sun May 14 21:06:51 +0000 2017,0,30,0,0,1,0
MaRayyani,,Fri Nov 16 19:13:55 +0000 2012,6,110,7,0,1,2
karlmar26084749,,Sun May 14 20:49:19 +0000 2017,6,120,0,0,1,0
alaatiye,ان لم تفعل الجديد في حياتك فلا تنتظر الجديد,Sun May 14 20:44:33 +0000 2017,2,163,2,0,1,1
MamunRa42251058,,Sun May 14 20:31:01 +0000 2017,0,99,0,0,1,0
Luvi11486553,,Sun May 14 20:28:59 +0000 2017,0,6,0,0,1,0
Ghassanalmassa1,,Sun May 14 20:24:12 +0000 2017,0,21,0,0,1,0
abina974,اللهم إرزقني أجمل مما تمنّيت .,Sat Nov 07 17:19:33 +0000 2015,632,466,2181,0,1,777
Reemaalkabi3,,Sun May 14 20:08:06 +0000 2017,0,19,0,0,1,0
VebBlc9Cg4iAyxU,,Sun May 14 19:41:00 +0000 2017,1,52,0,0,1,0
XA1uWP2XygwtQAD,,Sun May 14 19:46:57 +0000 2017,0,22,0,0,1,0
lolwamonterag,,Sun May 14 19:47:16 +0000 2017,0,54,0,0,1,1
